10,10
15,14.99
20,20
25,24.98
30,29.98
35,34.97
40,39.98
45,44.96
50,49.96
55,54.96
60,59.95
65,64.95
70,69.57
75,67.63
80,68.2
85,64.95
90,60
95,54.96
100,49.99
105,44.97
110,33.56
115,0
120,0
125,0
131.25,0
135.71,0
140.62,0
145.83,0
150,0
